ID,Class
1,0
2,1
3,1
4,0
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,1
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,0
134,1
135,0
136,1
137,0
138,1
139,1
140,0
141,0
142,1
143,1
144,1
145,1
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,0
154,1
155,1
156,0
157,1
158,0
159,1
160,0
161,1
162,1
163,1
164,0
165,0
166,1
167,0
168,1
169,0
170,1
171,1
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,1
180,1
181,1
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,1
198,1
199,0
200,0
201,1
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,0
210,0
211,1
212,1
213,1
214,1
215,0
216,1
217,0
218,0
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,0
252,1
253,1
254,0
255,1
256,1
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,0
269,1
270,0
271,1
272,1
273,1
274,0
275,0
276,0
277,0
278,1
279,1
280,1
281,0
282,1
283,0
284,1
285,1
286,0
287,0
288,1
289,0
290,1
291,0
292,0
293,1
294,0
295,0
296,0
297,1
298,1
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,1
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,0
335,1
336,0
337,0
338,1
339,0
340,0
341,1
342,1
343,1
344,1
345,0
346,0
347,0
348,1
349,1
350,0
351,1
352,0
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,0
367,0
368,1
369,1
370,0
371,0
372,0
373,1
374,1
375,0
376,1
377,1
378,0
379,1
380,0
381,0
382,1
383,0
384,1
385,1
386,1
387,0
388,0
389,0
390,1
391,1
392,1
393,1
394,0
395,1
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,1
405,1
406,0
407,1
408,0
409,0
410,0
411,0
412,1
413,1
414,0
415,0
416,0
417,1
418,1
419,1
